State,Date,Cases,Deaths,Deaths1
Ohio,2020-03-10,0,0,0
Ohio,2020-03-11,1,0,0
Ohio,2020-03-12,1,0,0
Ohio,2020-03-13,8,0,0
Ohio,2020-03-14,13,0,0
Ohio,2020-03-15,11,0,0
Ohio,2020-03-16,13,0,0
Ohio,2020-03-17,17,0,0
Ohio,2020-03-18,23,0,0
Ohio,2020-03-19,30,0,0
Ohio,2020-03-20,49,1,1
Ohio,2020-03-21,78,2,2
Ohio,2020-03-22,104,0,0
Ohio,2020-03-23,93,3,3
Ohio,2020-03-24,120,2,2
Ohio,2020-03-25,143,3,3
Ohio,2020-03-26,160,4,4
Ohio,2020-03-27,277,7,7
Ohio,2020-03-28,262,3,3
Ohio,2020-03-29,259,5,5
Ohio,2020-03-30,268,10,10
Ohio,2020-03-31,266,15,15
Ohio,2020-04-01,349,10,10
Ohio,2020-04-02,355,16,16
Ohio,2020-04-03,409,10,10
Ohio,2020-04-04,427,11,11
Ohio,2020-04-05,304,17,17
Ohio,2020-04-06,407,23,23
Ohio,2020-04-07,333,25,25
Ohio,2020-04-08,366,26,26
Ohio,2020-04-09,364,20,20
Ohio,2020-04-10,366,18,18
Ohio,2020-04-11,372,16,16
Ohio,2020-04-12,354,6,6
Ohio,2020-04-13,370,21,21
Ohio,2020-04-14,305,50,50
Ohio,2020-04-15,511,37,37
Ohio,2020-04-16,623,28,28
Ohio,2020-04-17,693,29,29
Ohio,2020-04-18,1115,33,33
Ohio,2020-04-19,1380,20,20
Ohio,2020-04-20,1317,38,38
Ohio,2020-04-21,806,48,48
Ohio,2020-04-22,392,53,53
Ohio,2020-04-23,577,46,46
Ohio,2020-04-24,475,34,34
Ohio,2020-04-25,418,21,21
Ohio,2020-04-26,376,17,17
Ohio,2020-04-27,362,25,25
Ohio,2020-04-28,444,46,46
Ohio,2020-04-29,534,138,138
Ohio,2020-04-30,724,38,38
Ohio,2020-05-01,716,27,27
Ohio,2020-05-02,592,19,19
Ohio,2020-05-03,579,17,17
Ohio,2020-05-04,560,18,18
Ohio,2020-05-05,495,79,79
Ohio,2020-05-06,607,90,90
Ohio,2020-05-07,555,46,46
Ohio,2020-05-08,887,35,35
Ohio,2020-05-09,679,25,25
Ohio,2020-05-10,389,10,10
Ohio,2020-05-11,699,16,16
Ohio,2020-05-12,472,79,79
Ohio,2020-05-13,470,47,47
Ohio,2020-05-14,636,51,51
Ohio,2020-05-15,593,47,47
Ohio,2020-05-16,520,29,29
Ohio,2020-05-17,449,15,15
Ohio,2020-05-18,530,32,32
Ohio,2020-05-19,498,63,63
Ohio,2020-05-20,484,61,61
Ohio,2020-05-21,731,55,55
Ohio,2020-05-22,627,36,36
Ohio,2020-05-23,613,84,84
Ohio,2020-05-24,503,13,13
